Genes;PT186rna;T15NFREE;T45NFREE;NFREE;TENDNFREE;T15NH4;T45NH4;NH4;TENDNH4;T15NO2;T45NO2;TENDNO2;T15NO3;T45NO3;NO3SPIKE;TENDNO3;PT3OVvsPT3OVrna;Pt8Tc-Pt8TcRNAseq;PTCRvsPTCRrna;Total
Phatr3_J41875;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2
Phatr3_J42274;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Phatr3_J42437;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J42603;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J42774;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;4
Phatr3_J42832;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J43010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J43089;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
Phatr3_J43150;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J43325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Phatr3_J43335;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J43398;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3
Phatr3_J43495;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
Phatr3_J43513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J43665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Phatr3_J43792;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2
Phatr3_J43823;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J44028;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
Phatr3_J44088;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J44138;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J44201;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J44225;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3
Phatr3_J44262;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J44265;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J44285;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3
Phatr3_J44293;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2
Phatr3_J44517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Phatr3_J44546;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;8
Phatr3_J44818;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
Phatr3_J44820;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3
Phatr3_J44825;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J44829;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3
Phatr3_J44831;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J45163;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0;6
Phatr3_J45294;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3
Phatr3_J45321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Phatr3_J45353;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;3
Phatr3_J45413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
Phatr3_J45592;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J45638;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
Phatr3_J45663;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;4
Phatr3_J45755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J45888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J46032;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
